IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
8.210.175.109	2083	TRUE	HKG	Asia Pacific	Hong Kong	66 ms	9374 kB/s
8.210.34.188	2096	TRUE	HKG	Asia Pacific	Hong Kong	71 ms	9333 kB/s
8.210.48.107	2053	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	9122 kB/s
47.242.155.183	2096	TRUE	HKG	Asia Pacific	Hong Kong	64 ms	9101 kB/s
47.242.234.127	2087	TRUE	HKG	Asia Pacific	Hong Kong	62 ms	8948 kB/s
8.217.164.10	2083	TRUE	HKG	Asia Pacific	Hong Kong	58 ms	8902 kB/s
47.76.146.1	2096	TRUE	HKG	Asia Pacific	Hong Kong	58 ms	8884 kB/s
47.242.157.96	2087	TRUE	HKG	Asia Pacific	Hong Kong	59 ms	8872 kB/s
8.217.164.10	2087	TRUE	HKG	Asia Pacific	Hong Kong	58 ms	8849 kB/s
47.243.206.150	2087	TRUE	HKG	Asia Pacific	Hong Kong	65 ms	8837 kB/s
8.219.132.64	2083	TRUE	SIN	Asia Pacific	Singapore	222 ms	8776 kB/s
47.76.204.76	2053	TRUE	HKG	Asia Pacific	Hong Kong	62 ms	8741 kB/s
8.217.85.14	2083	TRUE	HKG	Asia Pacific	Hong Kong	60 ms	8696 kB/s
47.236.118.216	8443	TRUE	SIN	Asia Pacific	Singapore	216 ms	8688 kB/s
8.222.249.190	2053	TRUE	SIN	Asia Pacific	Singapore	239 ms	8670 kB/s
8.210.3.24	2087	TRUE	HKG	Asia Pacific	Hong Kong	67 ms	8445 kB/s
8.217.121.207	2096	TRUE	HKG	Asia Pacific	Hong Kong	63 ms	8376 kB/s
8.219.100.168	2053	TRUE	SIN	Asia Pacific	Singapore	218 ms	8336 kB/s
47.236.93.176	2087	TRUE	SIN	Asia Pacific	Singapore	218 ms	8301 kB/s
47.242.174.27	2053	TRUE	HKG	Asia Pacific	Hong Kong	56 ms	8237 kB/s
8.219.209.14	2087	TRUE	SIN	Asia Pacific	Singapore	220 ms	8123 kB/s
47.243.86.79	2096	TRUE	HKG	Asia Pacific	Hong Kong	64 ms	8106 kB/s
47.243.5.154	8443	TRUE	HKG	Asia Pacific	Hong Kong	62 ms	8088 kB/s
8.210.39.96	2087	TRUE	HKG	Asia Pacific	Hong Kong	63 ms	8054 kB/s
47.242.59.216	8443	TRUE	HKG	Asia Pacific	Hong Kong	71 ms	7973 kB/s
8.219.78.188	2096	TRUE	SIN	Asia Pacific	Singapore	221 ms	7960 kB/s
47.243.86.79	2087	TRUE	HKG	Asia Pacific	Hong Kong	65 ms	7918 kB/s
8.222.180.86	2087	TRUE	SIN	Asia Pacific	Singapore	222 ms	7915 kB/s
8.219.174.213	2053	TRUE	SIN	Asia Pacific	Singapore	221 ms	7847 kB/s
8.217.145.40	2087	TRUE	HKG	Asia Pacific	Hong Kong	56 ms	7784 kB/s
47.242.174.27	2096	TRUE	HKG	Asia Pacific	Hong Kong	62 ms	7680 kB/s
8.219.114.201	2083	TRUE	SIN	Asia Pacific	Singapore	242 ms	7656 kB/s
47.242.79.71	2053	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	7606 kB/s
47.242.252.237	2096	TRUE	HKG	Asia Pacific	Hong Kong	57 ms	7591 kB/s
8.219.240.160	2053	TRUE	SIN	Asia Pacific	Singapore	211 ms	7573 kB/s
8.219.60.54	2083	TRUE	SIN	Asia Pacific	Singapore	222 ms	7569 kB/s
8.222.244.192	2083	TRUE	SIN	Asia Pacific	Singapore	225 ms	7557 kB/s
8.219.139.13	2083	TRUE	SIN	Asia Pacific	Singapore	239 ms	7544 kB/s
8.219.104.37	2096	TRUE	SIN	Asia Pacific	Singapore	207 ms	7526 kB/s
8.210.192.93	2096	TRUE	HKG	Asia Pacific	Hong Kong	66 ms	7467 kB/s
47.245.102.52	2053	TRUE	SIN	Asia Pacific	Singapore	255 ms	7450 kB/s
8.219.78.1	2083	TRUE	SIN	Asia Pacific	Singapore	219 ms	7432 kB/s
47.243.173.187	2053	TRUE	HKG	Asia Pacific	Hong Kong	55 ms	7421 kB/s
8.219.189.143	2053	TRUE	SIN	Asia Pacific	Singapore	227 ms	7387 kB/s
8.219.191.40	2087	TRUE	SIN	Asia Pacific	Singapore	213 ms	7387 kB/s
8.219.98.13	2087	TRUE	SIN	Asia Pacific	Singapore	234 ms	7338 kB/s
8.218.3.12	2053	TRUE	HKG	Asia Pacific	Hong Kong	59 ms	7304 kB/s
8.222.183.242	8443	TRUE	SIN	Asia Pacific	Singapore	235 ms	7291 kB/s
8.219.0.162	2053	TRUE	SIN	Asia Pacific	Singapore	219 ms	7286 kB/s
8.219.199.220	2087	TRUE	SIN	Asia Pacific	Singapore	222 ms	7285 kB/s
47.243.86.79	2053	TRUE	HKG	Asia Pacific	Hong Kong	70 ms	7258 kB/s
8.219.209.14	2083	TRUE	SIN	Asia Pacific	Singapore	215 ms	7254 kB/s
8.219.174.213	2083	TRUE	SIN	Asia Pacific	Singapore	218 ms	7229 kB/s
8.219.113.232	8443	TRUE	SIN	Asia Pacific	Singapore	224 ms	7199 kB/s
47.242.54.157	2096	TRUE	HKG	Asia Pacific	Hong Kong	64 ms	7185 kB/s
8.219.189.143	2096	TRUE	SIN	Asia Pacific	Singapore	210 ms	7164 kB/s
8.219.194.170	2087	TRUE	SIN	Asia Pacific	Singapore	226 ms	7160 kB/s
8.210.119.11	2083	TRUE	HKG	Asia Pacific	Hong Kong	65 ms	7154 kB/s
8.219.201.245	2053	TRUE	SIN	Asia Pacific	Singapore	236 ms	7148 kB/s
8.219.191.40	2096	TRUE	SIN	Asia Pacific	Singapore	232 ms	7144 kB/s
8.219.113.232	2053	TRUE	SIN	Asia Pacific	Singapore	239 ms	7129 kB/s
47.76.146.1	2087	TRUE	HKG	Asia Pacific	Hong Kong	58 ms	7127 kB/s
47.237.86.185	8443	TRUE	SIN	Asia Pacific	Singapore	247 ms	7116 kB/s
8.219.210.57	8443	TRUE	SIN	Asia Pacific	Singapore	210 ms	7089 kB/s
8.219.78.1	8443	TRUE	SIN	Asia Pacific	Singapore	223 ms	7088 kB/s
8.210.245.224	2087	TRUE	HKG	Asia Pacific	Hong Kong	59 ms	7084 kB/s
8.219.117.198	2096	TRUE	SIN	Asia Pacific	Singapore	237 ms	7038 kB/s
8.210.100.23	2096	TRUE	HKG	Asia Pacific	Hong Kong	58 ms	7022 kB/s
8.219.201.245	2087	TRUE	SIN	Asia Pacific	Singapore	220 ms	7020 kB/s
47.237.81.112	8443	TRUE	SIN	Asia Pacific	Singapore	211 ms	7011 kB/s
47.236.83.239	2096	TRUE	SIN	Asia Pacific	Singapore	230 ms	6999 kB/s
47.236.254.120	2053	TRUE	SIN	Asia Pacific	Singapore	222 ms	6982 kB/s
8.219.114.201	2087	TRUE	SIN	Asia Pacific	Singapore	245 ms	6958 kB/s
8.219.111.175	2087	TRUE	SIN	Asia Pacific	Singapore	220 ms	6933 kB/s
8.219.0.162	443	TRUE	SIN	Asia Pacific	Singapore	215 ms	6916 kB/s
8.219.201.245	2096	TRUE	SIN	Asia Pacific	Singapore	238 ms	6907 kB/s
8.219.110.81	2096	TRUE	SIN	Asia Pacific	Singapore	243 ms	6897 kB/s
8.219.248.47	2083	TRUE	SIN	Asia Pacific	Singapore	216 ms	6892 kB/s
47.237.81.112	2083	TRUE	SIN	Asia Pacific	Singapore	219 ms	6871 kB/s
8.219.120.87	2083	TRUE	SIN	Asia Pacific	Singapore	232 ms	6868 kB/s
8.219.142.191	8443	TRUE	SIN	Asia Pacific	Singapore	237 ms	6834 kB/s
8.222.191.138	2087	TRUE	SIN	Asia Pacific	Singapore	209 ms	6824 kB/s
47.242.174.27	2087	TRUE	HKG	Asia Pacific	Hong Kong	56 ms	6822 kB/s
47.236.80.110	2096	TRUE	SIN	Asia Pacific	Singapore	223 ms	6818 kB/s
8.219.11.158	2087	TRUE	SIN	Asia Pacific	Singapore	233 ms	6807 kB/s
8.219.177.205	8443	TRUE	SIN	Asia Pacific	Singapore	207 ms	6807 kB/s
8.219.177.205	2096	TRUE	SIN	Asia Pacific	Singapore	207 ms	6806 kB/s
47.236.253.41	2096	TRUE	SIN	Asia Pacific	Singapore	216 ms	6773 kB/s
47.243.86.79	8443	TRUE	HKG	Asia Pacific	Hong Kong	65 ms	6772 kB/s
8.219.194.170	8443	TRUE	SIN	Asia Pacific	Singapore	239 ms	6761 kB/s
8.219.191.40	8443	TRUE	SIN	Asia Pacific	Singapore	219 ms	6756 kB/s
47.76.49.246	2053	TRUE	HKG	Asia Pacific	Hong Kong	63 ms	6756 kB/s
47.237.8.82	2087	TRUE	SIN	Asia Pacific	Singapore	239 ms	6754 kB/s
8.219.174.142	2087	TRUE	SIN	Asia Pacific	Singapore	215 ms	6754 kB/s
8.222.193.65	2087	TRUE	SIN	Asia Pacific	Singapore	222 ms	6735 kB/s
8.219.139.13	8443	TRUE	SIN	Asia Pacific	Singapore	239 ms	6734 kB/s
8.219.199.220	8443	TRUE	SIN	Asia Pacific	Singapore	220 ms	6733 kB/s
47.242.202.230	2096	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	6696 kB/s
8.219.120.87	8443	TRUE	SIN	Asia Pacific	Singapore	239 ms	6667 kB/s
8.222.244.192	2087	TRUE	SIN	Asia Pacific	Singapore	225 ms	6630 kB/s
8.219.229.190	2053	TRUE	SIN	Asia Pacific	Singapore	221 ms	6620 kB/s
47.243.173.187	2083	TRUE	HKG	Asia Pacific	Hong Kong	54 ms	6616 kB/s
47.237.84.173	2087	TRUE	SIN	Asia Pacific	Singapore	212 ms	6610 kB/s
47.76.146.1	8443	TRUE	HKG	Asia Pacific	Hong Kong	63 ms	6608 kB/s
8.210.21.65	2083	TRUE	HKG	Asia Pacific	Hong Kong	60 ms	6579 kB/s
47.242.232.14	2087	TRUE	HKG	Asia Pacific	Hong Kong	70 ms	6562 kB/s
8.217.127.73	2053	TRUE	HKG	Asia Pacific	Hong Kong	68 ms	6558 kB/s
47.237.83.20	8443	TRUE	SIN	Asia Pacific	Singapore	241 ms	6555 kB/s
8.219.194.170	2096	TRUE	SIN	Asia Pacific	Singapore	245 ms	6546 kB/s
47.237.84.173	2083	TRUE	SIN	Asia Pacific	Singapore	215 ms	6539 kB/s
8.219.114.201	8443	TRUE	SIN	Asia Pacific	Singapore	228 ms	6526 kB/s
8.219.229.190	2087	TRUE	SIN	Asia Pacific	Singapore	211 ms	6497 kB/s
8.222.237.131	2083	TRUE	SIN	Asia Pacific	Singapore	209 ms	6455 kB/s
8.222.164.209	2096	TRUE	SIN	Asia Pacific	Singapore	229 ms	6451 kB/s
8.219.161.129	2096	TRUE	SIN	Asia Pacific	Singapore	218 ms	6434 kB/s
47.76.94.15	8443	TRUE	HKG	Asia Pacific	Hong Kong	64 ms	6426 kB/s
47.236.164.215	8443	TRUE	SIN	Asia Pacific	Singapore	232 ms	6419 kB/s
8.219.111.175	2053	TRUE	SIN	Asia Pacific	Singapore	217 ms	6398 kB/s
47.237.100.206	2087	TRUE	SIN	Asia Pacific	Singapore	238 ms	6398 kB/s
8.222.181.117	2083	TRUE	SIN	Asia Pacific	Singapore	217 ms	6390 kB/s
47.245.114.163	2083	TRUE	SIN	Asia Pacific	Singapore	230 ms	6380 kB/s
8.219.114.201	2053	TRUE	SIN	Asia Pacific	Singapore	215 ms	6376 kB/s
8.222.179.231	8443	TRUE	SIN	Asia Pacific	Singapore	216 ms	6370 kB/s
47.237.81.112	2096	TRUE	SIN	Asia Pacific	Singapore	217 ms	6360 kB/s
8.219.60.54	2096	TRUE	SIN	Asia Pacific	Singapore	220 ms	6315 kB/s
8.219.60.54	2087	TRUE	SIN	Asia Pacific	Singapore	213 ms	6305 kB/s
8.222.162.45	2087	TRUE	SIN	Asia Pacific	Singapore	215 ms	6302 kB/s
47.76.37.57	2087	TRUE	HKG	Asia Pacific	Hong Kong	57 ms	6293 kB/s
47.76.204.76	2087	TRUE	HKG	Asia Pacific	Hong Kong	64 ms	6292 kB/s
8.222.134.170	2096	TRUE	SIN	Asia Pacific	Singapore	223 ms	6258 kB/s
8.222.146.222	2087	TRUE	SIN	Asia Pacific	Singapore	214 ms	6254 kB/s
8.210.21.65	2053	TRUE	HKG	Asia Pacific	Hong Kong	62 ms	6247 kB/s
47.243.107.148	2096	TRUE	HKG	Asia Pacific	Hong Kong	63 ms	6244 kB/s
47.243.169.63	2087	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	6226 kB/s
8.219.200.145	2053	TRUE	SIN	Asia Pacific	Singapore	218 ms	6223 kB/s
8.219.83.71	2096	TRUE	SIN	Asia Pacific	Singapore	225 ms	6221 kB/s
47.237.82.15	2096	TRUE	SIN	Asia Pacific	Singapore	220 ms	6215 kB/s
47.245.102.52	2087	TRUE	SIN	Asia Pacific	Singapore	243 ms	6203 kB/s
8.219.210.57	2087	TRUE	SIN	Asia Pacific	Singapore	236 ms	6148 kB/s
8.222.214.231	2053	TRUE	SIN	Asia Pacific	Singapore	225 ms	6142 kB/s
8.217.147.230	2053	TRUE	HKG	Asia Pacific	Hong Kong	75 ms	6130 kB/s
8.222.181.117	2053	TRUE	SIN	Asia Pacific	Singapore	241 ms	6114 kB/s
47.237.8.82	8443	TRUE	SIN	Asia Pacific	Singapore	229 ms	6114 kB/s
47.236.253.41	8443	TRUE	SIN	Asia Pacific	Singapore	217 ms	6102 kB/s
8.219.98.13	8443	TRUE	SIN	Asia Pacific	Singapore	211 ms	6092 kB/s
47.245.114.163	2053	TRUE	SIN	Asia Pacific	Singapore	241 ms	6085 kB/s
8.219.67.133	8443	TRUE	SIN	Asia Pacific	Singapore	217 ms	6069 kB/s
47.243.27.217	2096	TRUE	HKG	Asia Pacific	Hong Kong	62 ms	6067 kB/s
8.218.3.12	2083	TRUE	HKG	Asia Pacific	Hong Kong	65 ms	6059 kB/s
8.219.191.110	2087	TRUE	SIN	Asia Pacific	Singapore	240 ms	6058 kB/s
47.237.8.82	2096	TRUE	SIN	Asia Pacific	Singapore	214 ms	6002 kB/s
