IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
47.237.100.206	8443	TRUE	SIN	Asia Pacific	Singapore	222 ms	5015 kB/s
8.219.106.156	8443	TRUE	SIN	Asia Pacific	Singapore	221 ms	4994 kB/s
47.236.165.25	2083	TRUE	SIN	Asia Pacific	Singapore	223 ms	4976 kB/s
8.219.97.50	2096	TRUE	SIN	Asia Pacific	Singapore	220 ms	4968 kB/s
47.237.11.182	8443	TRUE	SIN	Asia Pacific	Singapore	238 ms	4964 kB/s
47.236.117.48	2083	TRUE	SIN	Asia Pacific	Singapore	249 ms	4952 kB/s
47.236.102.102	2096	TRUE	SIN	Asia Pacific	Singapore	245 ms	4932 kB/s
47.245.118.70	2096	TRUE	SIN	Asia Pacific	Singapore	226 ms	4929 kB/s
47.236.144.48	2087	TRUE	SIN	Asia Pacific	Singapore	219 ms	4905 kB/s
47.236.180.24	2087	TRUE	SIN	Asia Pacific	Singapore	214 ms	4873 kB/s
8.222.193.65	2083	TRUE	SIN	Asia Pacific	Singapore	223 ms	4854 kB/s
8.219.51.211	8443	TRUE	SIN	Asia Pacific	Singapore	212 ms	4847 kB/s
8.219.42.72	443	TRUE	SIN	Asia Pacific	Singapore	210 ms	4836 kB/s
47.243.107.148	2087	TRUE	HKG	Asia Pacific	Hong Kong	60 ms	4824 kB/s
47.243.42.219	2087	TRUE	HKG	Asia Pacific	Hong Kong	60 ms	4806 kB/s
47.237.11.182	2096	TRUE	SIN	Asia Pacific	Singapore	210 ms	4798 kB/s
8.219.106.156	2087	TRUE	SIN	Asia Pacific	Singapore	221 ms	4796 kB/s
8.217.164.10	2096	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	4773 kB/s
8.219.117.198	2053	TRUE	SIN	Asia Pacific	Singapore	218 ms	4675 kB/s
47.236.117.48	8443	TRUE	SIN	Asia Pacific	Singapore	232 ms	4673 kB/s
8.219.153.237	2053	TRUE	NRT	Asia Pacific	Tokyo	281 ms	4658 kB/s
47.236.167.231	2087	TRUE	SIN	Asia Pacific	Singapore	211 ms	4653 kB/s
47.236.118.216	2087	TRUE	SIN	Asia Pacific	Singapore	236 ms	4638 kB/s
47.245.114.163	2087	TRUE	SIN	Asia Pacific	Singapore	230 ms	4633 kB/s
47.236.93.176	2083	TRUE	SIN	Asia Pacific	Singapore	225 ms	4627 kB/s
